TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"Hake""""";3882915,17;819105,97;40859,16;182938,68;51981,17;891921,12;23579,55;114,28;86065,88;24483,26;4078,85;1017439,19;22145,27;41693,65;10695,11;13526,9;531,32;277,73;1262,74;793,63;700,62;101835,49;62177,01;9220,64;157599,67;20158,37;3003,2;56,78;2185,55;2749,9;2172,22;22915,85;7540,98;4832,67;4851,36;6348,19;500,07;4601,08;240,59;4090,88;10222,58;1035,16;27,53;5,02;45,67;44,75;40,39;240,36;;7545851,18
"Seal""""";3226825,91;601193,97;29114,22;131611,81;10907,63;14448,96;340,68;29,34;24080,36;17164,61;1246,95;881713,78;4021,97;15124,35;2787,38;7348,71;336,02;206,56;436,32;165,4;568,74;567478,41;51360,76;7700,55;136393,44;8242,74;2591,26;36,43;669,53;578,1;1349,66;3094,49;2002,2;1247,19;1258,82;1489,72;210,34;1202,54;75,12;975,96;3966,62;266,9;5,02;2,35;19,04;15,38;16,12;95,29;;5762017,65
"ToothCet""""";2519577,4;793000,83;34721,93;184854,98;21698,18;900783,89;22791,3;609,31;24332,25;18233,28;26221,7;870446,1;23506,6;15718,5;2689,19;8748,26;998,12;294,23;3425,17;803,53;538,95;71619,03;62429,99;6262,46;109178,14;8961,33;2074,58;233,47;885,55;576,58;2361,44;36223,67;3527,56;1542,3;1377,24;1489,13;756,46;1183,81;2106,64;1590,27;5144,8;1025,6;45,67;19,04;27,59;27,97;17,53;90,55;;5794772,08
"OvWint""""";34298,98;273100,8;9259,73;54985,26;6396,91;316839,99;7558,29;457,35;6725,31;1653,11;19409,09;107780,23;15389,84;3456,68;601,22;2422,08;578,2;108,51;2494,95;554,5;62,64;2473,53;15880,16;78,36;1470,56;2023,3;18,93;142,75;369,6;367,25;1296,57;23925,65;1678,36;468,44;365,71;304,2;582,03;262,61;1553,39;694,74;5112,75;861,57;35,8;12,31;22,38;16,22;14,34;58,9;;924224,07
"Sha""""";28,5;88909,28;2241,44;15656,48;1455,78;104050,05;2514,64;130,81;657,5;505,83;5544,27;29549,27;4238,57;502,72;15,5;574,49;153,17;28,73;687,51;138,67;15,66;441,79;4445,17;1,51;109,12;360,06;0;39,08;68,25;25,89;336,1;6466,28;377,2;70,63;38,19;8,34;137,62;10,06;445,1;134,68;929,25;216,16;8,08;3,22;3,51;3,59;1,65;6,59;;272285,96
"Jsole""""";75,2;266727,45;6723,67;46967,88;4367,04;312149,94;7543,91;392,44;1957,61;1516,33;16630,96;88647,81;12696,68;1499,73;45,88;1723,39;459,13;86,08;2061,53;415,72;46,95;1309,04;13326,64;3,47;327,37;1076,84;0;116,89;204,75;77,68;1006,53;19396,19;1131,12;211,64;114,2;23,92;412,69;26,58;1335,29;403,97;2725,22;648,19;24,04;9,53;9,05;7,36;3,29;11,29;;816678,12
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"BaskSha""""";0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;;0,79
"Bass""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0;0,02;0,02;0,02;0,02;0,02;0;0,01;0,02;0,02;0,02;0,02;0,02;0;0,01;0,01;0,02;0;0;0,02;0,02;0,02;0;0;0;0;0;0;;0,71
"Bird""""";0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0;0;0;0;0;0;;1,18
"Bivalv""""";0,4;0,42;0,24;0,35;0,27;0;0,19;0,03;0,2;0,21;0,18;0,27;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,28;0,2;0,11;0,17;0,13;0,02;0,03;0,04;0,07;0,09;0,28;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,2;0,09;0;0;0;0;0;0;;5,45
"Bream""""";0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0;0,02;0,02;0,02;0;0;0;0;0;0;;0,79
"CarnZoopl""""";0,28;0,28;0,24;0,28;0,24;0,27;0,18;0,03;0,21;0,21;0,18;0;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,25;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,24;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,05
"Cepha""""";0,18;0,18;0,18;0,18;0,18;0,18;0,18;0,02;0,15;0,18;0;0,18;0,13;0,08;0,03;0,09;0,05;0,03;0,05;0,02;0,01;0,18;0,15;0,09;0,11;0,09;0,01;0,02;0,03;0,06;0,07;0,16;0,05;0;0,02;0,04;0,03;0,01;0,02;0,03;0,16;0,07;0;0;0;0;0;0;;3,68
"Cod""""";0,05;0,05;0,05;0,05;0,05;0,05;0,03;0,03;0,05;0,05;0,03;0,05;0,05;0,05;0,03;0,05;0,05;0;0,05;0,03;0,02;0,05;0,05;0,05;0,05;0,05;0,02;0,03;0,03;0,04;0,05;0,05;0,05;0;0,03;0,05;0,03;0,02;0,01;0,03;0,05;0,05;0;0;0;0;0;0;;1,73
"CommCrab""""";0,09;0,09;0,09;0,09;0,09;0,09;0,07;0,03;0,09;0,09;0,07;0,09;0,09;0,09;0,04;0,09;0,06;0,05;0,06;0,03;0,02;0,09;0,09;0,09;0,09;0,09;0,02;0,03;0,04;0,05;0,07;0,09;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,09;0;0;0;0;0;0;0;;2,74
"Crab""""";0,21;0,21;0,21;0,21;0,21;0,2;0,16;0,03;0,19;0,19;0,16;0,21;0,15;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,21;0,19;0,1;0,16;0,11;0,02;0,03;0,04;0,07;0,09;0,19;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0;0,09;0;0;0;0;0;0;;4,45
"Dab""""";0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0;0;0;0;0;0;;1,18
"DepoFeed""""";0,28;0,28;0,21;0,27;0,22;0,28;0,16;0,03;0,19;0,18;0,16;0,24;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,21;0,2;0,11;0,17;0,13;0,02;0,03;0,04;0,07;0,09;0;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,19;0,09;0;0;0;0;0;0;;4,82
"Echino""""";0,26;0,28;0,24;0,28;0;0,27;0,19;0,03;0,21;0,22;0,18;0,24;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,26;0,2;0,11;0,17;0,13;0,02;0,03;0,04;0,07;0,09;0,22;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,02
"Gurna""""";0,11;0,11;0,11;0,11;0,11;0,11;0,09;0,03;0,11;0,11;0,09;0,11;0,11;0,1;0,04;0;0,07;0,05;0,07;0,03;0,02;0,11;0,11;0,1;0,1;0,1;0,02;0,03;0,04;0,07;0,09;0,11;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,11;0,09;0;0;0;0;0;0;;3,18
"Hake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Herr""""";0,21;0,21;0,21;0,21;0,2;0,2;0,15;0,03;0,19;0,18;0,15;0,21;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,21;0;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,2;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,19;0,09;0;0;0;0;0;0;;4,47
"Jbass""""";0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,02;0,04;0,04;0,04;0,04;0,04;0,02;0,03;0;0,04;0,04;0,04;0,04;0;0,03;0,03;0,04;0,02;0,02;0,04;0,04;0,04;0;0;0;0;0;0;;1,5
"Jcod""""";0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,02;0,04;0,04;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,04;0,04;0,04;0;0,03;0,03;0,04;0,02;0,02;0;0,04;0,04;0;0;0;0;0;0;;1,5
"JohnDo""""";0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;;0,79
"Jplai""""";0,07;0,07;0,07;0,07;0,07;0,07;0,06;0,03;0,07;0,07;0,06;0,07;0,07;0,06;0,04;0,07;0,06;0,04;0,06;0,03;0,02;0,07;0,07;0,06;0,06;0,06;0,02;0,03;0,04;0;0,07;0,07;0,05;0;0,03;0,04;0,04;0,02;0,02;0,04;0,07;0,05;0;0;0;0;0;0;;2,23
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jwhit""""";0,09;0,09;0,09;0,09;0,09;0,09;0,07;0,03;0,09;0,09;0,07;0,09;0,09;0,08;0,04;0,09;0,07;0,05;0,07;0,03;0,02;0,09;0,09;0,08;0,08;0,08;0,02;0,03;0,04;0,07;0;0,09;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,09;0,07;0;0;0;0;0;0;;2,74
"LBottFish""""";0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,03;0,02;0,04;0,04;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,04;0,04;0,04;0;0,03;0,03;0;0,02;0,02;0,04;0,04;0,04;0;0;0;0;0;0;;1,5
"Lobs""""";0,03;0,03;0,03;0,03;0,03;0,03;0,02;0;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0;0;0;0;0;0;;1,18
"Mack""""";0,18;0,18;0,18;0,18;0,17;0,17;0,11;0,03;0,17;0,15;0,11;0,18;0,15;0,11;0,05;0,1;0,07;0,05;0,07;0,03;0,02;0,18;0,18;0,11;0;0,13;0,02;0,03;0,04;0,06;0,08;0,17;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,16;0,09;0;0;0;0;0;0;;4
"Mull""""";0,11;0,11;0,11;0,11;0,11;0,11;0,08;0,03;0,11;0,1;0,08;0,11;0,11;0;0,05;0,1;0,07;0,05;0,07;0,03;0,02;0,11;0,11;0,1;0,11;0,11;0,02;0,03;0,04;0,06;0,08;0,11;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,11;0,09;0;0;0;0;0;0;;3,16
"OFlatFish""""";0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,03;0,06;0,06;0,04;0,06;0,06;0,06;0,03;0,06;0,05;0,05;0,05;0,03;0,02;0,06;0,06;0,06;0,06;0,06;0,02;0,03;0,03;0,04;0,06;0,06;0,06;0;0,03;0;0,03;0,02;0,01;0,03;0,06;0,06;0;0;0;0;0;0;;1,98
"OvWint""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pil""""";0,21;0,22;0,22;0,22;0,22;0,21;0,19;0,03;0,18;0;0,18;0,21;0,15;0,1;0,04;0,11;0,07;0,05;0,07;0,03;0,02;0,22;0,18;0,11;0,15;0,11;0,02;0,03;0,04;0,07;0,09;0,18;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,19;0,09;0;0;0;0;0;0;;4,51
"Plai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Poll""""";0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0;0;0;0;0;0;;1,18
"ProdPrim""""";0;0,41;0,24;0,34;0,26;0,4;0,18;0,03;0,21;0,21;0,18;0,28;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,27;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,28;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,45
"RayDogFish""""";0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,03;0,07;0,07;0,05;0,07;0,07;0,07;0,04;0,07;0,07;0,05;0;0,03;0,02;0,07;0,07;0,07;0,07;0,07;0,02;0,03;0,04;0,06;0,07;0,07;0,06;0;0,03;0,05;0,04;0,02;0,02;0,04;0,07;0,06;0;0;0;0;0;0;;2,3
"Sande""""";0,27;0,29;0,25;0,28;0,26;0,28;0,19;0,03;0,21;0,22;0,18;0,25;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,21;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,08
"Scad""""";0,13;0,13;0,13;0,13;0,13;0,13;0,09;0,03;0,13;0,11;0,09;0,13;0,13;0,11;0,05;0,1;0,07;0,05;0,07;0,03;0,02;0,13;0,13;0,11;0,13;0;0,02;0,03;0,04;0,06;0,08;0,13;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,11;0,09;0;0;0;0;0;0;;3,33
"Scall""""";0,18;0,19;0,19;0,19;0,19;0,19;0;0,02;0,15;0,19;0,18;0,18;0,13;0,08;0,03;0,09;0,05;0,03;0,05;0,02;0,01;0,19;0,15;0,09;0,11;0,09;0,01;0,02;0,03;0,06;0,07;0,16;0,05;0;0,02;0,04;0,03;0,01;0,02;0,03;0,16;0,07;0;0;0;0;0;0;;3,75
"Sdemers""""";0,21;0,21;0,2;0,21;0,21;0,2;0,15;0,03;0;0,18;0,15;0,21;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,21;0,19;0,11;0,17;0,13;0,02;0,03;0,04;0,07;0,09;0,19;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,19;0,09;0;0;0;0;0;0;;4,45
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sgado""""";0,16;0,16;0,16;0,16;0,16;0,16;0,13;0,03;0,16;0,15;0,13;0,16;0;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,16;0,16;0,11;0,15;0,13;0,02;0,03;0,04;0,07;0,09;0,16;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,15;0,09;0;0;0;0;0;0;;3,85
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShriPrawn""""";0,34;0,36;0,25;0;0,28;0,35;0,19;0,03;0,21;0,22;0,18;0,28;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,28;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,27;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,42
"Sole""""";0,05;0,05;0,05;0,05;0,05;0,05;0,03;0,03;0,05;0,04;0,03;0,05;0,05;0,05;0;0,04;0,04;0,03;0,04;0,03;0,02;0,05;0,05;0,04;0,05;0,05;0,02;0,03;0,04;0,04;0,04;0,05;0,04;0;0,03;0,03;0,04;0,02;0,02;0,04;0,05;0,04;0;0;0;0;0;0;;1,67
"Sprat""""";0,11;0,11;0,11;0,11;0,11;0,11;0,09;0,03;0,11;0,11;0,09;0,11;0,11;0,1;0,04;0,1;0,07;0,05;0,07;0,03;0,02;0,11;0,11;0;0,11;0,11;0,02;0,03;0,04;0,06;0,08;0,11;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,1;0,09;0;0;0;0;0;0;;3,17
"SuspFeed""""";0,24;0,25;0;0,25;0,24;0,24;0,19;0,03;0,2;0,22;0,18;0,24;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,25;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,21;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;4,9
"ToothCet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whelk""""";0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,03;0,07;0,07;0,05;0,07;0,07;0,07;0,04;0,07;0,06;0,05;0,06;0,03;0,02;0,07;0,07;0,07;0,07;0,07;0,02;0,03;0,04;0,05;0,07;0,07;0;0;0,03;0,06;0,04;0,02;0,02;0,04;0,07;0,07;0;0;0;0;0;0;;2,3
"Whit""""";0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,03;0,07;0,07;0,05;0,07;0,07;0,07;0,04;0,07;0;0,05;0,07;0,03;0,02;0,07;0,07;0,07;0,07;0,07;0,02;0,03;0,04;0,06;0,07;0,07;0,06;0;0,03;0,05;0,04;0,02;0,02;0,04;0,07;0,06;0;0;0;0;0;0;;2,3
"Zoopl""""";0,41;0;0,25;0,36;0,28;0,42;0,19;0,03;0,21;0,22;0,18;0,28;0,16;0,11;0,05;0,11;0,07;0,05;0,07;0,03;0,02;0,29;0,21;0,11;0,18;0,13;0,02;0,03;0,04;0,07;0,09;0,28;0,07;0;0,03;0,06;0,04;0,02;0,02;0,04;0,21;0,09;0;0;0;0;0;0;;5,56
