TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Jwhit""""";132030045,7;43330840,62;32870572,14;795536,37;2374651,86;471138,39;6437160;3595536;5582,17;25646,96;232875,55;113955,44;140013,04;4211,14;15446,36;54568,71;339262,44;786542,21;506993,52;79559,86;17928979,03;1963,56;12826,42;1845309,94;39661,43;1753,84;344642,33;111757,41;40203,77;3366,17;7601,52;3763,99;2598,5;2679,46;13248,1;39676,34;8747,3;3992,48;40875,66;12546,54;9469,37;112476,83;20795,38;4942,38;1991,97;14784,31;203,95;1982,5;362,84;81,59;;244843423,4
"Jcod""""";29341872,23;12099541,13;9188027,89;185631,04;541040,17;163206,5;1823286,17;1041837,01;1440,38;5240,63;48318,73;48488,84;43784;1792,92;3286,97;11739,82;74129,32;171778,96;112254,26;21977,93;4041089,1;392,16;3235,69;429829,85;8939,31;278,1;46676,75;50143,59;12638,89;1828,56;4113,17;2816,97;1906,52;1314,5;2520,21;13940,33;4391,73;1152,37;9916,99;6875,15;3801,94;70403,54;14916,09;1072,88;285,02;3253,86;34,44;459,56;280,98;118,3;;59667301,46
"DogFish""""";81933914,96;86670781,19;69318917,73;650239,13;1861663,81;1522373,76;14305383,32;8178267,95;10164,15;39670,97;242418,81;601935,07;604416,15;14759,12;21751,18;26305,95;163725,34;375991,18;316574;230530,35;9060965,54;2433,02;28832,48;1071649,73;20034,8;3309,05;1123564,6;441256,18;126827,15;13095,89;28983,68;40175,62;27351,24;11071,9;42517,72;190023,27;81751,32;18030,9;56385,57;40188,72;79593,92;1702651,72;362281,08;10887,38;4830,4;20811,75;810,81;2811,86;6048,78;2778,92;;281711739,1
"Bream""""";2985612,28;4152044,45;3978852,92;67118,47;163682,18;161423,11;1054073,74;385235,77;1195,03;23189,01;89725,58;122463,45;67873,88;2744,59;8866,37;1004,34;6183,43;13489,36;61704,57;37299,48;298091,16;1324,47;5535,99;34491,85;653,74;3033,12;956491,74;66402,49;28680,47;208,49;479,83;514,22;559,62;1284,07;23258,04;19124,75;7527,92;3750,08;12056,62;715,99;14659,21;128151,68;18962,16;3850,08;4017,15;5465,34;528,7;535,34;241,71;12,41;;15024390,42
"Bass""""";59311358,99;22415215,69;17100941,94;372705,78;1095003,71;283996,67;3388403,38;1914827,23;2730,18;11108,74;104335,16;77300,19;62699,83;3184,9;6748,33;24459,94;152050,98;352526,98;225623,9;35516;8036403,15;859,43;5861,94;847968,03;17778;698,12;128616,61;86321,92;22343,22;3107,33;7025,54;3462,5;2355,2;2238,54;5246,63;19827,22;4734,68;1728,15;19898,48;12216,01;4385,13;49317,58;9848,09;2092,12;744,57;6521,72;75,45;877,16;193,99;55,95;;116243541
"SMCrab""""";4926551566;17225566089;13708674118;78953017,21;227141345,3;158952510,3;2897689959;1710028925;786589,28;866981,25;22578317,55;4417560,77;6199524,08;159216,47;550579,7;2039815,65;12695494,22;29424511,32;18648531,82;2645367,41;671270522;91406,6;652473,87;69405459,78;1485176,56;46132,69;8298440,63;4976692,25;1871496,5;156735,35;354284,52;148009,19;101408,11;108421,63;447002,15;1923802,67;303687,45;172808,68;2298579,82;576682,55;266314,94;2591133,47;589733,62;235605,26;56167,88;677504,72;3611,87;77809,66;8208,11;1318,89;;41803766650
"Lcrab""""";169018421,6;1296925437;1035123186;4941908,13;13790974,01;11844450,24;219591199,1;129937831,2;50498,32;32056,46;1292140,66;180972,54;236933,55;4979,33;19189,67;69744,89;433889,71;1005661,6;635083,14;88938,23;22929350,66;3572,29;25546,3;2357855,94;50725,22;1386,82;488687,25;177096,53;70878,24;4616,82;10414,66;4920,76;3446,08;3187,24;18510,52;73086,9;10397,69;6780,04;90570,27;15801,8;9848,09;109209,93;25843,74;9381,09;2340,9;26416,2;101,34;2795,73;380,44;104,29;;2911756749
"Lbott""""";37479181,3;4986721,49;3443114,32;199890,54;529363,59;111861,56;500237,72;276677,31;917,23;5562,79;22990,91;60035,41;53271,78;2210,35;3225,07;14982,19;93673,28;217068,91;138193,25;29600,19;5031400,65;266,35;2921,6;535449,55;11132,52;259,19;29392,21;59543,65;12966,61;2237,53;5018,87;4026,78;2720,44;1607,27;2068,72;16227,71;6425,09;1267,95;7076,8;8341,84;5439,51;113439,57;24390,83;806,85;175,42;1946,4;45,63;349,92;460,55;204,19;;54056389,37
"JohnDo""""";6738119,99;510433,91;366191,15;37546,23;88717,24;33409,24;30067,21;14800,13;137,4;1083,66;1610,83;20435,12;6893,83;910,53;570,04;2800,78;16776,77;38951,2;23263,83;4816,71;831920,64;37,31;421,89;96504,82;1841,36;57,39;7332,03;24294,31;3735,71;987,42;2231,79;1213,64;819,86;678,5;252,68;2841,47;1195,18;155,47;1449,12;4017,15;893,48;12481,75;2809,08;80,96;21,25;175,16;8,15;35,27;56,79;25,11;;8936110,54
"AngFish""""";5780209,17;587322,92;597155,24;27466,76;119249,49;120991,52;61464,5;5722,67;1332,93;2664,28;33557,47;95639,66;110957,46;2536,68;1705,01;1568,47;9054,86;19973,96;17413,58;36836,86;443405,02;286,17;5443,56;81749,71;976,33;161,18;59821,97;83946,86;22817,36;2799,31;6256,62;6053,82;4117,21;2191,7;5051,21;37898,11;16262,74;3253,86;11446,46;10019,79;14347,78;276020,44;58115,64;1646,96;321,12;1955,64;86,4;296,76;763,65;348,81;;8790685,66
"Seal""""";2746057,76;286183,56;27138,92;17301,04;42688,01;7400,19;5436,71;2292,75;37,68;627,01;1119,93;4396,08;1731,61;221,08;233,79;856,45;7616,8;17621,05;16199,66;2237,83;619444,65;22,29;155,73;65800,45;1369,94;41,38;1291,28;5547,93;934,4;231,6;523,53;238,56;160,62;159,6;89,09;628,8;224,35;34,44;445,95;969,28;166;1471,5;222,95;38,61;14,94;86,4;3,58;32,73;20,7;6,39;;3887775,56
"Hake""""";5684584,87;424158,99;234902,83;30250,3;80251,26;5975,28;4540,62;11,05;90,45;1491,05;3906,76;6068,57;10636,35;221,34;705,11;2137,18;14871,51;34329,75;27092,97;6730,74;928984,85;46,16;565,43;95643,13;2055,8;144,58;7688,57;5281,74;1742,6;157,88;354,23;256,49;177,04;136,59;445,92;3205,76;1387,75;292,44;984,15;624,57;1228,02;20172,87;3914,02;188,42;41,15;188,85;20,83;39,86;39,64;14,63;;7648980,95
"ToothCet""""";2718011,45;503893,35;370012,03;15289,17;59885,44;6371,92;71733,61;33191,47;250,95;891,9;11955,32;2143,49;5521,97;105,85;490,69;1087,24;7129,11;16459,89;12648,69;2138,57;407802,47;87,17;606,72;42032,04;904,41;105,45;6791,47;2783,46;1650,78;83,23;187,37;62,04;41,66;59,7;513,43;1782,63;253,98;178,81;2117,07;281,99;271,58;2128,03;532,62;247,99;66,26;485,96;13,17;39,64;10,05;2,23;;4311335,53
"Sha""""";0,99;22685,56;18810,63;73,3;1712,91;318,72;4939,46;2289,07;16,96;26,63;805,72;60,53;287,06;1,74;17,16;0,21;1,99;0,78;79,72;24,78;11,34;5,33;36,73;16,76;0,11;4,37;388,38;90,22;95,48;1,69;3,77;0,31;0,19;1,19;33,25;102,57;8,16;10,75;138,95;2,07;11,19;48,85;20,86;15,71;4,18;31,71;0,58;2,09;0,32;0,05;;53241,08
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Acod""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,04;0,01;0,03;0,04;0,04;0,02;0,01;0,01;0;0,01;0;0;;1,61
"AngFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0;;0,41
"Aplai""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0;0,03;0,02;0,04;0,03;0,02;0,04;0,01;0,02;0,04;0,04;0,01;0;0;0;0;0;0;;1,52
"Asole""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0;0,04;0,04;0,03;0,02;0,04;0,03;0,02;0,04;0,01;0,02;0,04;0,04;0,01;0;0;0;0;0;0;;1,52
"Awhit""""";0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,06;0,06;0,08;0,06;0,08;0,08;0,05;0;0,08;0,08;0,08;0,08;0,08;0,08;0,04;0,06;0,08;0,07;0,04;0,08;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,08;0,08;0,03;0,01;0,01;0;0,01;0;0;;2,73
"BaskSha""""";0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,05;0,07;0,05;0,07;0,07;0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,05;0,07;0;0,04;0,07;0,07;0,05;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,04;0,03;0,05;0,01;0,03;0,07;0,07;0,02;0,01;0,01;0;0,01;0;0;;2,42
"Bass""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,03;0,03;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,03;0,04;0,04;0,03;0,04;0,01;0;0,04;0,04;0,03;0,01;0,01;0;0,01;0;0;;1,56
"Bird""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0,04;0,03;0,04;0,04;0,03;0,04;0,01;0,03;0,04;0,04;0,02;0,01;0,01;0;0,01;0;0;;1,61
"Bivalv""""";0,34;0,39;0,39;0,23;0,32;0,26;0;0,23;0,06;0,1;0,19;0,15;0,14;0,05;0,08;0,1;0,17;0,17;0,18;0,13;0,28;0,04;0,06;0,23;0,07;0,04;0,19;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,17;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,55
"Bream""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0;0;;0,43
"Cepha""""";0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,19;0,04;0,08;0;0,12;0,12;0,03;0,06;0,08;0,14;0,14;0,15;0,11;0,18;0,03;0,04;0,17;0,05;0,03;0,15;0,06;0,04;0,02;0,02;0,02;0,02;0,03;0,03;0,05;0,04;0,03;0,04;0,01;0,04;0,14;0,07;0,03;0,01;0,01;0;0,01;0;0;;3,96
"Dab""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,03;0,03;0;0,03;0,04;0,04;0,03;0,04;0,01;0,03;0,04;0,04;0,02;0,01;0,01;0;0,01;0;0;;1,61
"DepoFeed""""";0,2;0,2;0,2;0,18;0,19;0,18;0,19;0,16;0,06;0,1;0,15;0,15;0,14;0,05;0,08;0,1;0,16;0,16;0,16;0,13;0,19;0,04;0,06;0,17;0,07;0,04;0;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,17;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,47
"DogFish""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,04;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,04;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,05;0,03;0;0,01;0,04;0,06;0,06;0,03;0,01;0,01;0;0,01;0;0;;2,24
"Echino""""";0,25;0,27;0,27;0,24;0,27;0;0,26;0,23;0,06;0,1;0,19;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,24;0,04;0,06;0,22;0,07;0,04;0,18;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,19
"Gurna""""";0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,06;0,07;0,05;0,07;0,07;0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,06;0,07;0,06;0,04;0,07;0,07;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0;0,05;0,03;0,06;0,01;0,04;0,07;0,07;0,03;0,01;0,01;0;0,01;0;0;;2,49
"Hake""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;;0,41
"Herr""""";0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,06;0,1;0,08;0,1;0,1;0,05;0,08;0;0,1;0,1;0,1;0,1;0,1;0,04;0,06;0,1;0,07;0,04;0,1;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,1;0,09;0,03;0,01;0,01;0;0,01;0;0;;3,14
"Jcod""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0;0,03;0,01;0,03;0,03;0,03;0,02;0,01;0,01;0;0,01;0;0;;1,25
"JohnDo""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0;;0,41
"Jplai""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0;0,04;0,03;0,02;0,04;0,03;0,02;0,04;0,01;0,02;0,04;0,04;0,01;0;0;0;0;0;0;;1,52
"Jsole""""";0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0;0,04;0,04;0,04;0,03;0,02;0,04;0,03;0,02;0,04;0,01;0,02;0,04;0,04;0,01;0;0;0;0;0;0;;1,52
"Jwhit""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,04;0,05;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,04;0,04;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,04;0,03;0,05;0;0,03;0,05;0,01;0,04;0,05;0,05;0,03;0,01;0,01;0;0,01;0;0;;1,92
"Lbott""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,02;0,02;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,03;0,02;0,03;0,01;0,03;0,03;0,03;0;0,01;0,01;0;0,01;0;0;;1,15
"Lcrab""""";0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,07;0,06;0,09;0,07;0,09;0,09;0,05;0,08;0,09;0,09;0,09;0,09;0,09;0,09;0,04;0,06;0,09;0,07;0,04;0,09;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,09;0;0,03;0,01;0,01;0;0,01;0;0;;2,94
"Lemsole""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,03;0,05;0,05;0,03;0,05;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,05;0,04;0,05;0,05;0,05;0,04;0,04;0,04;0,04;0,04;0,03;0,05;0,04;0,03;0,05;0,01;0,03;0,05;0,05;0,02;0,01;0,01;0;0,01;0;0;;1,93
"LFlatFish""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0;0,03;0,03;0,03;0,03;0,01;0,03;0,03;0,03;0,02;0,01;0,01;0;0,01;0;0;;1,25
"Lobs""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0;0,06;0,04;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,04;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,05;0,03;0,06;0,01;0,04;0,06;0,06;0,03;0,01;0,01;0;0,01;0;0;;2,24
"Mack""""";0,19;0,19;0,19;0,19;0,19;0,19;0,18;0,16;0,06;0,1;0,15;0,14;0,15;0,05;0,08;0,1;0,18;0,18;0;0,14;0,19;0,04;0,06;0,19;0,07;0,04;0,16;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,16;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,51
"MacroZoopl""""";0,29;0,29;0,29;0,23;0,29;0,24;0,28;0,21;0,06;0,1;0,18;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0;0,04;0,06;0,24;0,07;0,04;0,19;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,3
"MesoZoopl""""";0,39;0,44;0;0,24;0,33;0,27;0,39;0,23;0,06;0,1;0,19;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,29;0,04;0,06;0,24;0,07;0,04;0,2;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,78
"MicroZoopl""""";0,39;0;0,44;0,24;0,33;0,27;0,39;0,23;0,06;0,1;0,19;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,29;0,04;0,06;0,24;0,07;0,04;0,2;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,78
"Ogado""""";0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,08;0,06;0;0,08;0,1;0,1;0,05;0,08;0,1;0,1;0,1;0,1;0,1;0,1;0,04;0,06;0,1;0,07;0,04;0,1;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,1;0,09;0,03;0,01;0,01;0;0,01;0;0;;3,14
"Pil""""";0,18;0,18;0,18;0,18;0,18;0,18;0,17;0,15;0,06;0,1;0,14;0,14;0,15;0,05;0,08;0,1;0,18;0;0,18;0,14;0,18;0,04;0,06;0,18;0,07;0,04;0,16;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,16;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,4
"PrimProd""""";0;0,39;0,39;0,24;0,31;0,25;0,34;0,22;0,06;0,1;0,19;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,29;0,04;0,06;0,24;0,07;0,04;0,2;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,63
"Ray""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,04;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0;0,06;0,05;0,04;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,05;0,03;0,06;0,01;0,04;0,06;0,06;0,03;0,01;0,01;0;0,01;0;0;;2,24
"RedMull""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,04;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,04;0,06;0,06;0;0,04;0,04;0,04;0,04;0,04;0,03;0,06;0,05;0,03;0,06;0,01;0,04;0,06;0,06;0,03;0,01;0,01;0;0,01;0;0;;2,24
"Sande""""";0,24;0,24;0,24;0,22;0,24;0,22;0,23;0,19;0,06;0,1;0,17;0,15;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,24;0,04;0,06;0;0,07;0,04;0,17;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,17;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,95
"Scad""""";0,14;0,14;0,14;0,14;0,14;0,14;0,13;0,11;0,06;0,1;0,11;0,12;0,14;0,05;0,08;0,1;0,14;0,14;0,14;0;0,14;0,04;0,06;0,14;0,07;0,04;0,13;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,14;0,09;0,03;0,01;0,01;0;0,01;0;0;;3,8
"Scalo""""";0,22;0,23;0,23;0,21;0,23;0,23;0,23;0;0,04;0,08;0,19;0,13;0,12;0,03;0,06;0,08;0,15;0,15;0,16;0,11;0,21;0,03;0,04;0,19;0,05;0,03;0,16;0,07;0,04;0,02;0,02;0,02;0,02;0,03;0,03;0,05;0,04;0,03;0,04;0,01;0,04;0,15;0,07;0,03;0,01;0,01;0;0,01;0;0;;4,33
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sgado""""";0,15;0,15;0,15;0,15;0,15;0,15;0,14;0,12;0,06;0,1;0,12;0,13;0;0,05;0,08;0,1;0,15;0,15;0,15;0,14;0,15;0,04;0,06;0,15;0,07;0,04;0,14;0,08;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,14;0,09;0,03;0,01;0,01;0;0,01;0;0;;3,96
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ShriPrawn""""";0,31;0,33;0,33;0,24;0;0,27;0,32;0,23;0,06;0,1;0,19;0,16;0,15;0,05;0,08;0,1;0,18;0,18;0,19;0,14;0,29;0,04;0,06;0,24;0,07;0,04;0,19;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,18;0,09;0,03;0,01;0,01;0;0,01;0;0;;5,51
"SMCrab""""";0,18;0,18;0,18;0,18;0,18;0,18;0,17;0,15;0,06;0,1;0,14;0,15;0,14;0,05;0,08;0,1;0,16;0,16;0,16;0,14;0,18;0,04;0,06;0,17;0,07;0,04;0,17;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,36
"SMDem""""";0,16;0,16;0,16;0,16;0,16;0,16;0,15;0,13;0,06;0,1;0,12;0;0,13;0,05;0,08;0,1;0,14;0,14;0,14;0,12;0,16;0,04;0,06;0,15;0,07;0,04;0,15;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,15;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,03
"Sprat""""";0,18;0,18;0,18;0,18;0,18;0,18;0,17;0,15;0,06;0,1;0,14;0,14;0,15;0,05;0,08;0,1;0;0,18;0,18;0,14;0,18;0,04;0,06;0,18;0,07;0,04;0,16;0,09;0,06;0,04;0,04;0,04;0,04;0,04;0,03;0,07;0,05;0,03;0,06;0,01;0,04;0,16;0,09;0,03;0,01;0,01;0;0,01;0;0;;4,4
