TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Cod""""";0,06;0,08;0;0,08;0,06;0,06;0,08;0,08;0,08;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0;0,05;0,08;0;0,08;0,08;0,07;0,01;0,08;0;0,06;0,05;0,08;0,08;0,05;0,06;0,02;0;0,06;0;0,08;0,08;0,08;0,08;0,08;0,08;;2,63
"Echino""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,18;0,13;0,18;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,18;0;0,06;0,05;0,08;0,18;0,05;0,06;0,02;0;0,06;0;0;0,09;0,18;0,18;0,18;0,18;;3,76
"EdiCrabLobs""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,09;0,08;0,07;0,09;0,07;0,09;0,09;0,08;0,09;0,09;0,09;0;0,05;0,08;0;0,09;0,09;0,08;0,01;0,09;0;0,06;0,05;0,08;0,09;0,05;0,06;0,02;0;0,06;0;0,09;0;0,09;0,09;0,09;0,09;;2,83
"Eupha""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,18;0;0,18;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,18;0;0,06;0,05;0,08;0,17;0,05;0,06;0,02;0;0,06;0;0,13;0,09;0,18;0,18;0,18;0,18;;3,75
"Gurna""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,05;0,05;0;0,05;0,05;0,05;0,01;0,05;0;0,05;0;0,05;0,05;0,05;0,05;0,02;0;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;;1,67
"Hadd""""";0,06;0,08;0,08;0,08;0,06;0,06;0;0,09;0,08;0,07;0,09;0,07;0,09;0,09;0,08;0,09;0,09;0,09;0;0,05;0,08;0;0,09;0,09;0,08;0,01;0,09;0;0,06;0,05;0,08;0,09;0,05;0,06;0,02;0;0,06;0;0,09;0,09;0,09;0,09;0,09;0,09;;2,83
"HalTur""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,05;0,05;0;0,05;0,05;0,05;0,01;0,05;0;0,05;0,05;0,05;0,05;0;0,05;0,02;0;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;;1,67
"Herr""""";0,06;0,08;0,08;0,08;0,06;0,06;0,08;0,09;0;0,09;0,1;0,07;0,08;0,1;0,1;0,1;0,1;0,1;0;0,05;0,09;0;0,1;0,09;0,07;0,01;0,1;0;0,06;0,05;0,08;0,1;0,05;0,06;0,02;0;0,06;0;0,1;0,08;0,1;0,1;0,1;0,1;;3
"HorMack""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0,06;0,05;0,06;0,06;0,05;0,06;0,02;0;0;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
"Jcod""""";0,06;0,08;0,08;0;0,06;0,06;0,08;0,08;0,08;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0;0,05;0,08;0;0,08;0,08;0,07;0,01;0,08;0;0,06;0,05;0,08;0,08;0,05;0,06;0,02;0;0,06;0;0,08;0,08;0,08;0,08;0,08;0,08;;2,63
"Jhadd""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0;0,09;0,08;0,1;0,07;0,09;0,1;0,09;0,1;0,1;0,1;0;0,05;0,09;0;0,1;0,1;0,08;0,01;0,1;0;0,06;0,05;0,08;0,1;0,05;0,06;0,02;0;0,06;0;0,1;0,09;0,1;0,1;0,1;0,1;;3,03
"JraySkate""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0,02;0,02;0,02;0,01;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0;0;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;;0,85
"Jsaithe""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0;0,05;0,06;0,06;0,05;0,06;0,02;0;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
"Jsha""""";0,06;0,08;0,08;0,08;0,06;0,06;0,08;0,08;0,08;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0;0,05;0,08;0;0,08;0,08;0,07;0,01;0,08;0;0,06;0,05;0;0,08;0,05;0,06;0,02;0;0,06;0;0,08;0,08;0,08;0,08;0,08;0,08;;2,63
"Jwhit""""";0,06;0,08;0,08;0,08;0,06;0,06;0,08;0,09;0,09;0,08;0,09;0,07;0,08;0,09;0,09;0,09;0,09;0,09;0;0,05;0;0;0,09;0,09;0,07;0,01;0,09;0;0,06;0,05;0,08;0,09;0,05;0,06;0,02;0;0,06;0;0,09;0,08;0,09;0,09;0,09;0,09;;2,83
"MeioFau""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,33;0,18;0,32;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,32;0;0,06;0,05;0,08;0,3;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,35;0,35;0;0,35;;4,86
"NorPout""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,11;0,11;0,11;0;0,05;0,09;0;0;0,1;0,08;0,01;0,11;0;0,06;0,05;0,08;0,11;0,05;0,06;0,02;0;0,06;0;0,11;0,09;0,11;0,11;0,11;0,11;;3,2
"NseaMack""""";0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0,06;0,05;0,06;0,06;0,05;0,06;0,02;0;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
"Ocrus""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,32;0,18;0;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,28;0;0,06;0,05;0,08;0,27;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,32;0,32;0,32;0,32;;4,69
"OMacroBenth""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,32;0,18;0,28;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0;0;0,06;0,05;0,08;0,31;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,34;0,34;0,32;0,34;;4,8
"OpredFish""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,09;0,08;0,07;0,09;0,07;0;0,09;0,08;0,09;0,09;0,09;0;0,05;0,08;0;0,09;0,09;0,08;0,01;0,09;0;0,06;0,05;0,08;0,09;0,05;0,06;0,02;0;0,06;0;0,09;0,09;0,09;0,09;0,09;0,09;;2,83
"OpreyFish""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0;0,1;0,11;0,11;0,11;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,11;0;0,06;0,05;0,08;0,11;0,05;0,06;0,02;0;0,06;0;0,11;0,09;0,11;0,11;0,11;0,11;;3,2
"Phyto""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,38;0,18;0,32;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,34;0;0,06;0,05;0,08;0,31;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0;0,4;0,35;0,4;;5,03
"Plai""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,09;0,08;0,1;0,07;0,09;0,1;0,09;0,1;0,1;0,1;0;0,05;0,09;0;0,1;0;0,08;0,01;0,1;0;0,06;0,05;0,08;0,1;0,05;0,06;0,02;0;0,06;0;0,1;0,09;0,1;0,1;0,1;0,1;;3,03
"PlankMicroFlo""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,38;0,18;0,32;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,34;0;0,06;0,05;0,08;0,31;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,4;0;0,35;0,42;;5,06
"Polych""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0,3;0,17;0,27;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,31;0;0,06;0,05;0,08;0;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,31;0,31;0,3;0,31;;4,63
"RaySkate""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0,06;0,05;0,06;0,06;0,05;0;0,02;0;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
"Saithe""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SalTrout""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;;0,43
"Sande""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0;0,07;0,09;0,11;0,1;0,11;0,11;0,11;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,11;0;0,06;0,05;0,08;0,11;0,05;0,06;0,02;0;0,06;0;0,11;0,09;0,11;0,11;0,11;0,11;;3,2
"Seal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sha""""";0,06;0;0,08;0,08;0,06;0,06;0,08;0,08;0,08;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,08;0,08;0;0,05;0,08;0;0,08;0,08;0,07;0,01;0,08;0;0,06;0,05;0,08;0,08;0,05;0,06;0,02;0;0,06;0;0,08;0,08;0,08;0,08;0,08;0,08;;2,63
"Sole""""";0,05;0,07;0,07;0,07;0,05;0,05;0,07;0,07;0,07;0,06;0,07;0;0,07;0,07;0,07;0,07;0,07;0,07;0;0,05;0,07;0;0,07;0,07;0,07;0,01;0,07;0;0,05;0,05;0,07;0,07;0,05;0,05;0,02;0;0,05;0;0,07;0,07;0,07;0,07;0,07;0,07;;2,27
"Sprat""""";0,06;0,07;0,07;0,07;0,06;0,06;0,07;0,08;0,09;0;0,09;0,06;0,07;0,09;0,09;0,09;0,09;0,09;0;0,05;0,08;0;0,09;0,08;0,06;0,01;0,09;0;0,06;0,05;0,07;0,09;0,05;0,06;0,02;0;0,06;0;0,09;0,07;0,09;0,09;0,09;0,09;;2,7
"Stur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Whit""""";0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0;0,05;0;0,05;0,05;0,05;0,01;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;;1,67
"Wmack""""";0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0;0,05;0,06;0;0,06;0,06;0,05;0,01;0,06;0;0,06;0,05;0,06;0,06;0,05;0,06;0,02;0;0,06;0;0,06;0,06;0,06;0,06;0,06;0,06;;2,02
"Zoopl""""";0,06;0,08;0,08;0,08;0,06;0,06;0,09;0,1;0,1;0,09;0,11;0,07;0,09;0,11;0,1;0;0,18;0,32;0;0,05;0,09;0;0,11;0,1;0,08;0,01;0,32;0;0,06;0,05;0,08;0,3;0,05;0,06;0,02;0;0,06;0;0,18;0,09;0,38;0,38;0,33;0,38;;4,93
