"TI3";""TranOrc"";""SSLpup"";""SSLjuv"";""SSLad"";""Smamm"";""ToothWhale"";""Sal"";""Spela"";""AtkaMack"";""Herr"";""Apoll"";""DemSM"";""Mycto"";""BenthInv"";""Cephalo"";""Lzoopl"";""Szoopl"";""BalWhale"";""ShaMeater"";""Sandl"";""Jpoll"";""RockFish"";""PacCod"";""ShaSkate"";""ArrToo"";""FlatFish"";""Lpred"";""SabFish"";""Shri"";""EpiCarn"";""Otter"";""Bird"";""Lpela"";""DeepL"";""Halib"";""Macroph"";""POP"";""Phyto"";;SUM
""Jpoll"";"321,14";"0,56";"521194,61";"2001274,92";"155549,82";"68067,59";"19198901,86";"67471412,29";"59469438,87";"22059204,48";"28936791,06";"7555836,90";"91881257,83";"23573356,29";"16686375,33";"45689959847,35";"337257190751,73";"3420638,46";"3711,17";"16297194,14";"10215732,09";"2220883,91";"1771761,08";"824349,17";"759466,95";"3681483,63";"16229138,27";"16846767,24";"33753927,44";"34499652,45";"300404,44";"92671,96";"41714,78";"643393,43";"223858,51";"11156218,08";"6049642,92";"31184683052,61";;"414630445245,36"
""RockFish"";"8,74";"1,03";"132427,01";"443990,52";"44824,96";"19815,78";"3244476,14";"9899479,22";"10507673,92";"3217983,81";"5042935,15";"3728014,40";"13737011,88";"12383510,84";"3831135,68";"5700646679,86";"41924433186,58";"564536,72";"1495,76";"2383192,12";"1870218,03";"556750,81";"691206,59";"259039,37";"169686,48";"1350690,90";"3113679,74";"2431625,53";"9141842,46";"14241484,17";"321067,39";"19635,15";"7658,90";"316381,31";"81900,24";"6287830,28";"1123277,83";"5757401394,26";;"53493647749,56"
""PacCod"";"1429,86";"4,42";"184616,59";"549750,45";"75591,63";"41568,55";"4925886,99";"16099444,01";"12366106,03";"5011891,26";"6620200,78";"13082994,59";"21667563,10";"19990177,75";"8172588,69";"296761439,58";"2029287116,30";"622692,40";"3632,64";"3875642,57";"2331264,58";"1080010,29";"1313456,84";"603403,64";"224752,53";"3881598,34";"5585846,96";"3989264,02";"28716269,47";"51830606,50";"1302243,50";"24786,05";"12964,18";"629388,85";"143767,70";"20179229,35";"874350,87";"4072718106,39";;"6634781648,27"
""ShaSkate"";"259,91";"0,42";"99885,84";"314890,29";"38045,59";"17750,29";"2026806,17";"4946355,75";"6188937,20";"1548778,92";"2932379,77";"3529001,64";"6907414,13";"12515970,80";"2837152,10";"846455551,19";"6031867082,90";"312280,05";"1468,42";"1186031,34";"1128056,76";"420938,97";"627539,78";"219065,90";"121105,08";"1183429,50";"2038054,21";"1162841,98";"7101148,79";"12836644,28";"330883,84";"14467,24";"4676,64";"304377,96";"76147,35";"6143828,03";"676579,39";"3446283485,45";;"10404399313,88"
""ArrToo"";"253,44";"0,71";"30723,91";"104681,58";"14888,54";"8313,02";"1539090,26";"4942887,29";"4432914,27";"1573530,58";"2070929,47";"1353667,53";"6749870,98";"2415751,26";"1448474,97";"254064846,17";"1764991504,69";"237939,39";"676,57";"1193284,99";"759466,95";"201502,69";"170811,92";"88499,87";"48933,78";"474033,21";"1239307,23";"1216085,72";"3986819,79";"5784784,24";"109612,99";"7039,70";"3350,93";"80596,13";"21735,12";"1973560,36";"432331,72";"2202824723,74";;"4266597425,69"
""FlatFish"";"170,25";"1,96";"419241,23";"1231201,00";"155034,93";"64378,28";"8623227,65";"21575111,85";"20163011,30";"6604079,33";"9748622,45";"10189145,65";"28397309,41";"73845464,95";"11227741,97";"4021148977,31";"29151192955,62";"1071757,81";"6171,34";"5161921,20";"3681483,63";"1603945,44";"2950014,74";"864813,86";"474033,21";"3452993,63";"9482288,86";"4894203,64";"18599068,14";"29998610,82";"816426,72";"45733,89";"14729,71";"1515100,64";"384718,88";"17442804,31";"1922594,48";"9727026778,51";;"43195995868,62"
""Lpred"";"828,87";"3,24";"721141,11";"2566272,91";"323223,21";"165747,85";"11540079,62";"11178431,69";"78383262,08";"4607517,32";"30699943,32";"17694039,60";"27366974,27";"45698094,40";"12996334,74";"12699335835,73";"89159225990,60";"3592637,43";"9806,15";"2636983,65";"13666642,76";"3113679,74";"3574942,06";"1254187,21";"1043627,14";"7985085,35";"6488982,16";"2602141,22";"32831312,64";"71471009,17";"1809831,94";"176499,04";"43235,27";"1637915,72";"412676,98";"40873285,52";"11904416,13";"62881035658,22";;"165190668276,08"
""SabFish"";"35,72";"0,01";"319920,33";"1227730,53";"143045,33";"66067,68";"4679719,09";"821842,62";"41604091,23";"1045830,19";"15504868,14";"1288935,76";"8549732,49";"15326900,96";"3172295,19";"7609563280,90";"53510378428,84";"1936047,75";"3254,68";"181247,03";"7093375,68";"1215812,76";"1276564,49";"357797,53";"512036,09";"2060717,32";"1301070,61";"151582,52";"794813,00";"5218569,04";"84735,97";"91730,02";"19099,22";"558260,27";"155437,26";"9736704,37";"6766817,84";"36053229446,07";;"97306437844,53"
""Shri"";"1079,51";"0,02";"3134374,41";"9713008,44";"1218535,97";"501084,02";"36375149,08";"19963476,58";"180319421,36";"7362745,75";"69338267,74";"34841545,37";"47331262,64";"510306208,48";"48296798,64";"30739335457,37";"215349346024,51";"8253929,86";"40935,25";"4423049,13";"31977404,95";"10284572,76";"20675714,02";"4916179,93";"3776987,17";"17620169,81";"36935226,73";"1788329,26";"15381694,95";"52541095,67";"2466764,00";"463600,05";"83357,76";"10778070,03";"2698867,08";"94326220,79";"27544727,12";"146078783646,14";;"393483144982,33"
""EpiCarn"";"2467,60";"0,02";"5179398,42";"14964725,59";"1878804,39";"748993,01";"60733568,87";"72909621,62";"176386914,37";"21048161,30";"74109413,23";"74422999,88";"99849071,71";"1011026574,15";"95715950,48";"43240339588,85";"309739799506,82";"8346768,87";"70554,28";"16876139,82";"32683881,26";"16021669,70";"37318036,68";"8886907,58";"5480321,91";"28419736,56";"80404885,32";"11741780,34";"52541095,67";"114091172,86";"5271091,35";"535916,15";"90992,93";"19659784,39";"5000656,12";"161354592,00";"22935457,39";"120098524006,06";;"475415371207,52"
""Otter"";"65,31";"0,00";"29726,06";"76560,46";"10848,80";"4185,82";"320082,17";"395547,69";"329266,16";"89911,34";"174563,43";"714842,21";"392057,07";"7309678,10";"677741,16";"2158441,17";"1240710,37";"12264,20";"466,50";"90398,73";"79053,80";"100333,56";"260448,70";"63631,51";"28845,52";"214849,14";"565572,48";"52959,98";"685212,22";"1464192,04";"58387,43";"1774,89";"274,65";"141609,56";"34338,71";"1256672,81";"12713,43";"48839066,00";;"67887293,17"
""Bird"";"14,94";"0,00";"3352,64";"12611,04";"1364,35";"786,08";"172940,35";"570598,18";"344775,65";"175578,62";"182312,16";"78831,10";"733364,78";"221957,00";"142528,01";"79709057,96";"587486880,44";"21571,96";"52,52";"137770,52";"58529,66";"14726,37";"11897,30";"6677,19";"4446,13";"28884,56";"132374,28";"137595,04";"309066,70";"357277,44";"4259,72";"729,29";"285,85";"4485,98";"1970,74";"107640,65";"25210,60";"124924193,24";;"796126599,04"
""Lpela"";"0,19";"0,00";"757,83";"2781,96";"257,13";"109,57";"20139,41";"58256,26";"76537,16";"19404,88";"34377,27";"7927,16";"83335,31";"54736,86";"17899,75";"42070786,09";"308785138,90";"4135,33";"6,49";"14042,81";"13173,09";"2872,09";"3111,40";"1079,22";"1058,19";"4651,49";"16213,23";"14324,41";"27785,92";"30330,98";"329,59";"142,93";"46,94";"1308,54";"400,83";"17531,69";"9327,98";"48804788,08";;"400199106,92"
""DeepL"";"66,51";"0,00";"41258,23";"120152,39";"13820,65";"6002,34";"833385,30";"3042311,84";"1795886,00";"954432,53";"1156090,63";"3033898,85";"4087255,49";"3852022,04";"1765107,08";"1430241,14";"18145546,44";"98199,80";"630,25";"733367,49";"372490,93";"217512,15";"276931,10";"128775,29";"46660,92";"877163,53";"1126067,06";"767607,86";"6586598,35";"12014312,69";"311541,03";"4112,15";"2398,99";"126887,74";"26678,36";"4710451,59";"70802,32";"241802298,73";;"310578965,79"
""Halib"";"132,38";"0,00";"16006,52";"54187,96";"6586,87";"4042,53";"407138,25";"1262223,49";"1001856,55";"384698,52";"547155,37";"1079902,85";"1692382,00";"1059946,57";"654331,65";"3147938,95";"7344238,29";"52237,34";"284,68";"303828,89";"188512,43";"81900,24";"92011,33";"46859,91";"18303,26";"323973,79";"412676,98";"310874,51";"2398992,96";"4445027,66";"109883,87";"2627,66";"1068,88";"38804,89";"10488,05";"1729603,34";"73533,09";"344817471,15";;"374121733,67"
""Macroph"";"1227,39";"0,00";"709890,96";"1919446,95";"279408,29";"131046,82";"17103383,92";"39883072,52";"21299196,46";"11175612,47";"11853936,86";"21059419,53";"47661942,02";"151609507,87";"21356595,53";"51511832,58";"204763434,24";"1166389,13";"12907,50";"9517063,61";"4110185,61";"2750925,75";"5650184,22";"1654107,55";"727101,19";"6426296,33";"17882062,42";"8519616,32";"36682419,19";"62749008,00";"1759341,93";"62790,38";"20453,64";"2997560,10";"756701,46";"33643847,20";"928957,58";"3977732646,31";;"4778069519,82"
""POP"";"6,44";"0,00";"141026,09";"571861,02";"28312,32";"11263,10";"7431361,07";"30349232,93";"16720287,26";"9757977,94";"9295025,57";"2181840,55";"39573783,13";"2461418,35";"6277340,87";"19481841855,70";"144476313391,03";"1085804,08";"469,31";"7338353,87";"2865620,33";"631843,78";"314766,31";"234200,56";"204788,71";"910702,65";"6696234,08";"7612670,07";"13772363,56";"11467728,69";"22884,17";"18907,95";"13991,96";"57929,17";"41362,36";"1194374,04";"1105001,66";"5436191211,56";;"169574737192,20"
""Phyto"";"0,00";"0,00";"159762744,51";"653411561,19";"30154838,05";"11823867,31";"8695133263,15";"35905169972,47";"19162002443,13";"11538779614,34";"10765394487,68";"2490646989,24";"46720044541,44";"1928275984,42";"7322074686,88";"23127326862382,80";"171556446180622,00";"1256827644,58";"445801,94";"8682577968,53";"3282598216,06";"719675174,28";"325817448,51";"265098729,65";"231876286,71";"1023897555,63";"7860129457,28";"9013307361,52";"16230975960,68";"13344280445,12";"19535626,40";"20820698,87";"16268262,69";"43964054,31";"43102183,89";"1136495041,80";"1208042491,46";"5904282228732,32";;"200798163683141,00"

