TI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"LPlai""""";0,03;0,09;0,07;0,09;0,03;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0;0,09;0,03;0,09;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,05;0,05;0,09;0,09;;1,62
"Lzoopl""""";0,03;0,1;0,07;0,22;0,03;0,14;0,19;0,21;0;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,28;0,28;0,33;0,33;;3,09
"Mollu""""";0,03;0,07;0,05;0,19;0,03;0,1;0,16;0,17;0,28;0,07;0,07;0,1;0,05;0,05;0,03;0,05;0,07;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0;0,28;0,28;0,28;;2,55
"Phyto""""";0,03;0,1;0,07;0,22;0,03;0,14;0,19;0,21;0,33;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,28;0,28;0,4;0;;3,16
"PiscSPelaFeed""""";0,03;0,1;0,07;0,14;0,03;0;0,14;0,14;0,14;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,1;0,1;0,14;0,14;;2,16
"PlankSPelaFeed""""";0,03;0,1;0,07;0,19;0,03;0,14;0;0,17;0,19;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,16;0,16;0,19;0,19;;2,5
"Polych""""";0,03;0,07;0,05;0,19;0,03;0,1;0,16;0,17;0,28;0,07;0,07;0,1;0,05;0,05;0,03;0,05;0,07;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,28;0;0,28;0,28;;2,55
"RedFish""""";0,03;0,07;0;0,07;0,03;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,03;0,07;0,07;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,05;0,05;0,07;0,07;;1,38
"SCod""""";0,03;0;0,07;0,1;0,03;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,09;0,09;0,03;0,09;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,07;0,07;0,1;0,1;;1,83
"SDemFeed""""";0,03;0,09;0,07;0,09;0,03;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,09;0,03;0;0,09;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,05;0,05;0,09;0,09;;1,62
"Shri""""";0,03;0,1;0,07;0,17;0,03;0,14;0,17;0;0,21;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,17;0,17;0,21;0,21;;2,57
"Skate""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0;0;0;0;0,02;0,02;0,02;0,02;;0,4
"SPlai""""";0,03;0,1;0,07;0,14;0,03;0,14;0,14;0,14;0,14;0,1;0,1;0;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,1;0,1;0,14;0,14;;2,16
"Szoopl""""";0,03;0,1;0,07;0,22;0,03;0,14;0,19;0,21;0,33;0,1;0,1;0,14;0,09;0,09;0,03;0,09;0,1;0,03;0;0,03;0,02;0,02;0;0,02;0,02;0,28;0,28;0;0,4;;3,16
